Nodes: 232,Edges: 380,
Source: 1,Sink: 232,
1,2,5
1,3,10
1,4,5
1,229,30
1,231,35
2,5,5
2,6,2
3,7,2
3,8,2
4,9,3
4,10,8
5,6,5
5,12,20
6,7,3
7,13,5
8,14,6
8,9,2
9,10,4
10,15,10
11,156,8
11,224,12
11,228,2
12,16,3
12,17,2
13,17,15
13,18,6
14,18,6
14,19,10
15,19,1
15,20,4
16,21,3
16,34,25
17,22,2
18,23,7
19,24,1
20,25,5
20,26,20
21,27,1
21,35,6
22,27,5
22,28,12
23,28,13
23,29,10
23,38,15
24,29,10
24,30,4
25,30,5
25,31,12
26,32,2
26,33,3
27,36,7
28,37,1
29,39,5
30,40,15
31,32,3
31,41,2
32,42,8
33,43,7
33,44,2
34,45,1
34,46,5
34,231,7
35,47,2
35,48,6
36,48,2
36,49,2
37,49,26
37,38,30
38,50,10
38,51,12
39,51,3
39,52,5
40,41,6
40,52,25
41,53,10
42,43,3
42,54,2
43,44,8
44,229,5
45,80,20
45,56,6
46,47,2
46,57,2
47,57,5
48,58,13
49,59,12
50,60,15
50,61,15
50,62,15
51,52,4
53,54,4
53,63,15
54,230,10
55,56,18
55,65,7
55,80,5
56,57,3
56,58,7
58,65,17
58,66,20
59,67,11
59,68,12
60,69,25
60,70,4
61,71,12
61,72,10
61,73,5
62,74,5
62,75,10
63,76,10
63,77,10
64,77,1
64,78,35
64,230,40
65,79,18
66,67,4
66,79,4
66,97,16
67,68,13
68,69,10
68,81,10
69,81,10
70,71,3
71,82,3
72,83,3
72,84,3
72,85,2
73,74,5
73,86,5
74,86,5
75,87,1
75,88,15
76,77,8
76,88,27
78,88,30
78,89,12
79,90,15
80,231,35
81,91,3
82,92,3
83,84,7
83,93,10
84,100,7
84,102,5
85,86,8
85,100,2
87,94,10
87,100,16
88,95,10
89,103,10
89,104,10
89,107,28
90,96,18
90,97,5
91,97,11
91,98,15
92,93,2
92,99,22
93,99,30
94,95,13
96,98,5
96,101,5
98,99,12
101,102,65
101,105,10
102,105,67
102,106,10
102,107,42
103,107,25
103,111,10
103,104,2
104,112,13
105,106,65
105,108,3
106,107,40
106,109,10
107,110,10
108,109,55
108,113,40
108,114,47
109,110,40
109,115,3
110,111,25
111,112,10
111,116,45
111,117,20
112,118,10
113,119,3
113,120,7
114,120,28
114,121,1
115,121,24
115,122,25
116,123,5
116,124,10
117,118,20
117,124,10
118,125,45
119,126,2
119,146,42
120,127,18
121,128,26
121,129,10
122,129,12
122,130,6
123,131,1
123,132,1
123,142,20
124,133,17
125,134,14
125,135,15
126,136,20
126,147,26
127,128,2
127,136,2
128,137,2
129,130,15
130,138,2
130,139,6
131,140,25
131,141,10
132,133,8
132,143,15
133,134,20
133,143,12
134,135,10
134,144,10
135,145,10
136,148,2
137,149,2
137,150,16
138,139,7
138,151,20
138,152,48
139,153,12
139,154,2
140,155,4
140,201,7
141,157,10
141,158,10
141,159,10
142,159,2
142,160,7
142,161,6
143,162,3
144,145,7
144,162,15
144,163,3
145,163,8
146,147,15
146,165,4
147,148,18
147,166,22
148,167,2
149,167,2
149,168,10
150,169,5
150,170,3
151,170,5
151,172,4
152,184,20
152,192,12
152,205,13
152,208,13
152,210,8
153,157,10
153,173,10
153,174,10
154,155,6
154,199,7
155,200,4
156,225,10
156,232,10
157,175,10
158,175,2
158,176,2
159,176,10
159,177,10
160,161,7
160,178,4
160,179,3
161,162,17
162,164,8
163,164,15
164,180,25
165,166,16
165,181,20
166,182,12
166,183,7
167,183,45
168,184,18
168,202,40
169,186,8
169,187,3
170,171,1
171,187,1
171,188,2
172,188,2
172,191,8
173,193,10
173,194,10
174,175,2
174,194,2
176,196,2
177,178,6
177,193,10
177,196,10
178,192,22
179,197,7
179,213,40
180,198,8
180,214,37
181,182,18
181,203,20
181,220,30
181,221,38
182,183,10
182,203,10
182,204,12
183,202,10
184,185,10
184,205,20
185,186,3
185,191,3
186,190,1
187,189,3
188,189,3
189,190,1
190,191,1
192,193,20
192,210,13
193,195,10
194,195,2
195,196,2
197,198,8
199,200,2
199,201,5
200,201,1
202,204,1
203,207,15
203,219,14
204,205,5
205,206,2
206,207,15
206,208,8
207,209,8
207,211,5
207,219,16
208,209,1
208,210,10
209,211,8
210,212,18
211,217,15
211,224,20
212,213,5
212,216,1
213,214,2
214,215,3
215,216,6
215,218,5
216,217,1
217,218,9
218,225,13
219,220,7
219,223,13
220,222,18
220,223,10
221,222,3
221,226,10
222,223,22
223,224,16
223,227,12
224,225,16
224,228,14
226,227,35
226,232,55
227,228,10
227,232,12
228,232,16
229,230,30
